date,open,high,low,close,volume,amount
2026-06-25,29843.8926,29843.8926,29000.5547,29440.3223,1271338204,0
2026-06-26,29040.1211,29413.8027,28890.7363,29118.2383,1298109461,0
2026-06-29,29310.2578,29792.6328,28991.5234,29774.752,1573972542,0
2026-06-30,29792.9277,30328.793,29767.7559,30276.3477,1100588190,0
2026-07-01,29914.2812,30084.7812,29787.4082,29809.1328,1500228830,0
2026-07-02,29778.6953,30044.498,29087.3262,29329.2129,1248997244,0
2026-07-06,29575.5664,29847.7441,29553.6152,29697.873,1217376640,0
2026-07-07,29362.2012,29426.4492,28974.4707,29173.0176,1325078795,0
2026-07-08,29030.3301,29280.5781,28814.5703,29252.5625,986767057,0
2026-07-09,29486.6133,29773.7441,29398.4727,29727.0977,996197542,0
2026-07-10,29618.3418,29856.9414,29484.4902,29825.1094,1013408816,0
2026-07-13,29471.0156,29540.9961,29189.2051,29264.1035,1178989982,0
2026-07-14,29561.3535,29693.7734,29368.8711,29586.2871,1104503118,0
2026-07-15,29759.8047,29771.8867,29192.8887,29502.5957,1122160524,0
2026-07-16,29318.3008,29333.0645,28881.2285,29025.7695,1129109148,0
