date,open,high,low,close,volume,amount
2026-05-21,29150.1309,29463.4941,29040.0391,29357.2715,1022860600,0
2026-05-22,29476.2891,29663.8906,29423.6328,29481.6426,931855895,0
2026-05-26,29854.582,30044.4902,29753.0859,30001.3184,1269780184,0
2026-05-27,30081.2773,30099.7949,29808.8867,29973.5723,1249542992,0
2026-05-28,30030.625,30263.1914,29848.7559,30223.8887,1203901073,0
2026-05-29,30333.8633,30470.0332,30210.0059,30333.1797,1824561066,0
2026-06-01,30295.2461,30633.5469,30241.1953,30513.8613,1406948268,0
2026-06-02,30471.6133,30670.1094,30372.957,30660.6016,1380871003,0
2026-06-03,30730.1055,30762.1992,30441.8047,30571.2363,1211512822,0
2026-06-04,30174.5879,30541.4316,30092.2344,30407.8105,1333729449,0
2026-06-05,29992.3691,30051.0801,28929.8848,28957.5996,1687829379,0
2026-06-08,29482.1934,29697.8984,29294.0195,29414.2578,1061960441,0
2026-06-09,29647.3457,29805.2988,28196.9023,29084.5,1473374984,0
2026-06-10,28893.8242,29212.3828,28462.916,28508.0273,1218900389,0
2026-06-11,28731.1582,29506.6738,28548.498,29446.1758,1394977173,0
