date,open,high,low,close,volume,amount
2026-08-11,29694.6973,29705.7988,29427.6094,29525.4785,962716068,0
2026-08-12,29875.1797,29881.502,29715.8828,29742.6035,1144332762,0
2026-08-13,29784.0625,30168.0488,29757.6172,30084.502,1256568034,0
2026-08-14,30167.125,30179.8223,29934.6582,30046.1406,902564318,0
2026-08-17,30150.7754,30195.7188,29971.9238,29995.3809,1120485892,0
2026-08-18,29594.8887,29677.2871,29425.084,29490.957,995206014,0
2026-08-19,29580.8516,29652.2949,29288.7539,29426.0234,1250634790,0
2026-08-20,29295.1484,29378.8047,29118.0664,29213.1641,947719335,0
2026-08-21,29359.5977,29405.123,29142.4414,29308.8594,1118471094,0
2026-08-24,29094.7188,29151.9746,28875.9648,29023.1816,1068221417,0
2026-08-25,29231.1797,29338.7734,29077.7188,29209.2285,947557271,0
2026-08-26,29130.7695,29296.7676,29096.8418,29224.5215,918576876,0
2026-08-27,29480.9883,29643.5312,29366.4238,29641.5605,1278550112,0
2026-08-28,29545.9004,29752.7812,29383.918,29433.4277,1172835051,0
2026-08-31,29404.293,29483.9004,29304.4922,29456.9727,796966317,0
